Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
MEDICAL CENTER ENTERPRISE,10049,AL,Pneumonia,167,0.9632,14.0,14.5,21,01-JUL-11,30-JUN-14
GREENE COUNTY HOSPITAL,10051,AL,Pneumonia,157,1.0103,16.0,15.9,23,01-JUL-11,30-JUN-14
LAKE MARTIN COMMUNITY HOSPITAL,10052,AL,Heart_Faliure,157,0.9719,21.3,21.9,23,01-JUL-11,30-JUN-14
NORTHEAST ALABAMA REGIONAL MED CENTER,10078,AL,Acute_Myocardial_infarction,399,1.0835,18.2,16.8,77,01-JUL-11,30-JUN-14
ATHENS-LIMESTONE HOSPITAL,10079,AL,Hip_Knee_Surgery,157,0.9979,4.8,4.8,23,01-JUL-11,30-JUN-14
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,10085,AL,Acute_Myocardial_infarction,157,0.9456,17.8,18.8,23,01-JUL-11,30-JUN-14
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,10085,AL,Heart_Faliure,611,0.9648,21.5,22.2,129,01-JUL-11,30-JUN-14
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,10087,AL,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,10087,AL,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
WALKER BAPTIST MEDICAL CENTER,10089,AL,Hip_Knee_Surgery,251,1.2073,6.2,5.1,19,01-JUL-11,30-JUN-14
D C H REGIONAL MEDICAL CENTER,10092,AL,Hip_Knee_Surgery,753,1.2358,5.9,4.7,48,01-JUL-11,30-JUN-14
SCOTTSDALE SHEA MEDICAL CENTER,30087,AZ,Pneumonia,628,1.0037,16.4,16.3,103,01-JUL-11,30-JUN-14
BANNER BAYWOOD MEDICAL CENTER,30088,AZ,Acute_Myocardial_infarction,157,1.0095,19.1,18.9,23,01-JUL-11,30-JUN-14
HONORHEALTH DEER VALLEY MEDICAL CENTER,30092,AZ,Hip_Knee_Surgery,157,0.9253,3.7,4.0,23,01-JUL-11,30-JUN-14
ABRAZO ARROWHEAD CAMPUS,30094,AZ,Hip_Knee_Surgery,540,0.9169,4.2,4.6,21,01-JUL-11,30-JUN-14
MAYO CLINIC HOSPITAL,30103,AZ,Pneumonia,332,1.0366,18.3,17.6,63,01-JUL-11,30-JUN-14
BANNER HEART HOSPITAL,30105,AZ,Chronic_Obstructive_Pulmonary,157,0.9428,16.9,18.0,23,01-JUL-11,30-JUN-14
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",30108,AZ,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ABRAZO WEST CAMPUS,30110,AZ,Heart_Faliure,155,0.9986,22.0,22.0,34,01-JUL-11,30-JUN-14
WHITERIVER PHS INDIAN HOSPITAL,30113,AZ,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
VALLEY VIEW MEDICAL CENTER,30117,AZ,Chronic_Obstructive_Pulmonary,230,1.0278,19.6,19.1,47,01-JUL-11,30-JUN-14
YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,30118,AZ,Chronic_Obstructive_Pulmonary,187,0.9503,17.9,18.8,30,01-JUL-11,30-JUN-14
MERCY GILBERT MEDICAL CENTER,30119,AZ,Chronic_Obstructive_Pulmonary,286,1.011,20.0,19.8,58,01-JUL-11,30-JUN-14
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,30123,AZ,Heart_Faliure,155,1.0095,20.9,20.7,33,01-JUL-11,30-JUN-14
BANNER IRONWOOD MEDICAL CENTER,30130,AZ,Pneumonia,157,0.9735,13.4,13.7,23,01-JUL-11,30-JUN-14
WASHINGTON REGIONAL MEDICAL CENTER,40004,AR,Chronic_Obstructive_Pulmonary,337,0.968,17.9,18.5,58,01-JUL-11,30-JUN-14
WADLEY REGIONAL MEDICAL CENTER AT HOPE,40153,AR,Chronic_Obstructive_Pulmonary,66,0.971,19.8,20.4,11,01-JUL-11,30-JUN-14
ST ROSE HOSPITAL,50002,CA,Pneumonia,141,1.0876,17.4,16.0,30,01-JUL-11,30-JUN-14
ST JOSEPH HOSPITAL,50006,CA,Heart_Faliure,296,0.8643,18.7,21.6,47,01-JUL-11,30-JUN-14
MILLS-PENINSULA MEDICAL CENTER,50007,CA,Chronic_Obstructive_Pulmonary,266,1.0143,20.7,20.4,56,01-JUL-11,30-JUN-14
SONOMA VALLEY HOSPITAL,50090,CA,Pneumonia,157,0.9564,14.8,15.5,23,01-JUL-11,30-JUN-14
WEST COVINA MEDICAL CENTER,50096,CA,Heart_Faliure,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
SAN ANTONIO REGIONAL HOSPITAL,50099,CA,Hip_Knee_Surgery,263,0.9868,5.0,5.1,13,01-JUL-11,30-JUN-14
WHITE MEMORIAL MEDICAL CENTER,50103,CA,Heart_Faliure,236,1.0432,25.2,24.1,62,01-JUL-11,30-JUN-14
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,Chronic_Obstructive_Pulmonary,383,1.0763,22.9,21.3,93,01-JUL-11,30-JUN-14
MENA REGIONAL HEALTH SYSTEM,40015,AR,Chronic_Obstructive_Pulmonary,284,0.9209,17.1,18.6,43,01-JUL-11,30-JUN-14
MENA REGIONAL HEALTH SYSTEM,40015,AR,Heart_Faliure,86,0.9807,19.9,20.3,16,01-JUL-11,30-JUN-14
MENA REGIONAL HEALTH SYSTEM,40015,AR,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTH ARKANSAS REGIONAL MEDICAL CENTER,40017,AR,Chronic_Obstructive_Pulmonary,221,0.9154,16.2,17.7,30,01-JUL-11,30-JUN-14
SPARKS MEDICAL CENTER - VAN BUREN,40018,AR,Pneumonia,119,1.006,17.3,17.2,21,01-JUL-11,30-JUN-14
FORREST CITY MEDICAL CENTER,40019,AR,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST BERNARDS MEDICAL CENTER,40020,AR,Acute_Myocardial_infarction,417,1.0444,15.3,14.7,66,01-JUL-11,30-JUN-14
NORTHWEST MEDICAL CENTER-SPRINGDALE,40022,AR,Hip_Knee_Surgery,157,1.0056,4.9,4.8,23,01-JUL-11,30-JUN-14
NORTHWEST MEDICAL CENTER-SPRINGDALE,40022,AR,Pneumonia,374,1.0198,16.8,16.4,64,01-JUL-11,30-JUN-14
CHI ST. VINCENT HOSPITAL HOT SPRINGS,40026,AR,Acute_Myocardial_infarction,237,1.0383,14.4,13.9,36,01-JUL-11,30-JUN-14
BAXTER REGIONAL MEDICAL CENTER,40027,AR,Heart_Faliure,578,0.9956,19.8,19.9,114,01-JUL-11,30-JUN-14
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,40036,AR,Heart_Faliure,588,1.1413,23.7,20.7,147,01-JUL-11,30-JUN-14
ARKANSAS METHODIST MEDICAL CENTER,40039,AR,Heart_Faliure,225,1.1435,22.8,19.9,59,01-JUL-11,30-JUN-14
FIVE RIVERS MEDICAL CENTER,40047,AR,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
DREW MEMORIAL HOSPITAL,40051,AR,Pneumonia,375,1.0522,16.2,15.4,64,01-JUL-11,30-JUN-14
ST EDWARD MERCY MEDICAL CENTER,40062,AR,Acute_Myocardial_infarction,308,1.0156,15.0,14.8,47,01-JUL-11,30-JUN-14
MAGNOLIA HOSPITAL,40067,AR,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
MAGNOLIA HOSPITAL,40067,AR,Chronic_Obstructive_Pulmonary,123,1.0406,18.2,17.4,25,01-JUL-11,30-JUN-14
MAGNOLIA HOSPITAL,40067,AR,Pneumonia,141,0.9527,13.5,14.2,16,01-JUL-11,30-JUN-14
GREAT RIVER MEDICAL CENTER,40069,AR,Pneumonia,140,1.0809,16.4,15.2,28,01-JUL-11,30-JUN-14
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,Heart_Faliure,237,1.0101,21.7,21.5,52,01-JUL-11,30-JUN-14
UNITY HEALTH HARRIS MEDICAL CENTER,40080,AR,Pneumonia,161,1.0112,16.9,16.7,28,01-JUL-11,30-JUN-14
SALINE MEMORIAL HOSPITAL,40084,AR,Pneumonia,301,1.0658,15.9,14.9,52,01-JUL-11,30-JUN-14
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,Pneumonia,831,1.0136,16.0,15.8,134,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,CA,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,CA,Pneumonia,157,0.9631,15.8,16.4,23,01-JUL-11,30-JUN-14
SUTTER AMADOR HOSPITAL,50014,CA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,Heart_Faliure,342,1.1401,26.0,22.8,97,01-JUL-11,30-JUN-14
PARADISE VALLEY HOSPITAL,50024,CA,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
PARADISE VALLEY HOSPITAL,50024,CA,Pneumonia,127,0.9304,18.9,20.3,19,01-JUL-11,30-JUN-14
OROVILLE HOSPITAL,50030,CA,Chronic_Obstructive_Pulmonary,387,1.0558,23.3,22.0,94,01-JUL-11,30-JUN-14
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,Pneumonia,234,1.0189,17.4,17.1,42,01-JUL-11,30-JUN-14
ENLOE MEDICAL CENTER,50039,CA,Acute_Myocardial_infarction,479,1.0175,15.7,15.4,76,01-JUL-11,30-JUN-14
EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,Chronic_Obstructive_Pulmonary,146,0.9987,19.9,20.0,29,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,50047,CA,Acute_Myocardial_infarction,227,1.1177,16.9,15.1,44,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,50047,CA,Chronic_Obstructive_Pulmonary,170,0.9214,20.5,22.2,29,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,50047,CA,Heart_Faliure,537,0.9266,19.2,20.8,99,01-JUL-11,30-JUN-14
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,50055,CA,Heart_Faliure,159,1.0883,22.7,20.8,41,01-JUL-11,30-JUN-14
KAWEAH DELTA MEDICAL CENTER,50057,CA,Pneumonia,958,0.8755,14.8,16.9,133,01-JUL-11,30-JUN-14
COMMUNITY REGIONAL MEDICAL CENTER,50060,CA,Heart_Faliure,539,1.0642,24.0,22.5,133,01-JUL-11,30-JUN-14
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,CA,Acute_Myocardial_infarction,169,1.1287,21.6,19.1,43,01-JUL-11,30-JUN-14
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,CA,Heart_Faliure,332,1.0672,25.6,24.0,89,01-JUL-11,30-JUN-14
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,50063,CA,Pneumonia,219,1.025,19.3,18.8,44,01-JUL-11,30-JUN-14
OAK VALLEY HOSPITAL DISTRICT,50067,CA,Hip_Knee_Surgery,157,0.9765,4.6,4.7,23,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,50073,CA,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CRESTWOOD MEDICAL CENTER,10131,AL,Chronic_Obstructive_Pulmonary,455,0.9655,16.6,17.1,73,01-JUL-11,30-JUN-14
RMC JACKSONVILLE,10146,AL,Pneumonia,100,0.9939,15.4,15.5,15,01-JUL-11,30-JUN-14
EVERGREEN MEDICAL CENTER,10148,AL,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
BAPTIST MEDICAL CENTER EAST,10149,AL,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
L V STABLER MEMORIAL HOSPITAL,10150,AL,Heart_Faliure,87,0.9311,17.2,18.5,11,01-JUL-11,30-JUN-14
FORT DEFIANCE INDIAN HOSPITAL,30071,AZ,Pneumonia,198,1.0539,13.0,12.4,29,01-JUL-11,30-JUN-14
TUBA CITY REGIONAL HEALTH CARE CORPORATION,30073,AZ,Heart_Faliure,55,1.079,19.4,18.0,15,01-JUL-11,30-JUN-14
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,30084,AZ,Pneumonia,164,1.0268,12.4,12.1,22,01-JUL-11,30-JUN-14
NORTHWEST MEDICAL CENTER,30085,AZ,Heart_Faliure,361,0.8823,17.5,19.8,56,01-JUL-11,30-JUN-14
SCOTTSDALE SHEA MEDICAL CENTER,30087,AZ,Heart_Faliure,577,1.0324,21.3,20.7,125,01-JUL-11,30-JUN-14
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,50324,CA,Chronic_Obstructive_Pulmonary,154,0.8898,18.3,20.5,20,01-JUL-11,30-JUN-14
LOMA LINDA UNIVERSITY MEDICAL CENTER,50327,CA,Hip_Knee_Surgery,433,1.0146,5.5,5.4,24,01-JUL-11,30-JUN-14
CORONA REGIONAL MEDICAL CENTER,50329,CA,Hip_Knee_Surgery,157,0.9718,4.4,4.6,23,01-JUL-11,30-JUN-14
SALINAS VALLEY MEMORIAL HOSPITAL,50334,CA,Heart_Faliure,568,0.9181,18.6,20.3,101,01-JUL-11,30-JUN-14
SALINAS VALLEY MEMORIAL HOSPITAL,50334,CA,Hip_Knee_Surgery,383,0.99,4.5,4.5,17,01-JUL-11,30-JUN-14
PALO VERDE HOSPITAL,50423,CA,Heart_Faliure,157,0.9969,21.3,21.4,23,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,Chronic_Obstructive_Pulmonary,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL - SACRAMENTO,50425,CA,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
WEST ANAHEIM MEDICAL CENTER,50426,CA,Heart_Faliure,247,1.076,25.7,23.9,68,01-JUL-11,30-JUN-14
COLUSA REGIONAL MEDICAL CENTER,50434,CA,Heart_Faliure,157,0.9754,20.1,20.6,23,01-JUL-11,30-JUN-14
STANFORD HEALTH CARE,50441,CA,Chronic_Obstructive_Pulmonary,148,1.0219,19.9,19.5,31,01-JUL-11,30-JUN-14
STANFORD HEALTH CARE,50441,CA,Hip_Knee_Surgery,1232,0.8363,4.0,4.8,46,01-JUL-11,30-JUN-14
MERCY MEDICAL CENTER,50444,CA,Chronic_Obstructive_Pulmonary,474,1.1047,24.2,21.9,122,01-JUL-11,30-JUN-14
UCSF MEDICAL CENTER,50454,CA,Chronic_Obstructive_Pulmonary,161,1.0694,20.1,18.8,37,01-JUL-11,30-JUN-14
UCSF MEDICAL CENTER,50454,CA,Heart_Faliure,336,1.0666,23.6,22.1,83,01-JUL-11,30-JUN-14
SAN JOAQUIN COMMUNITY HOSPITAL,50455,CA,Heart_Faliure,407,1.0367,23.5,22.7,98,01-JUL-11,30-JUN-14
ST MARY'S MEDICAL CENTER,50457,CA,Hip_Knee_Surgery,353,0.8296,4.1,4.9,11,01-JUL-11,30-JUN-14
WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,Acute_Myocardial_infarction,180,0.9747,16.9,17.3,29,01-JUL-11,30-JUN-14
LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,Chronic_Obstructive_Pulmonary,276,0.9801,20.8,21.2,56,01-JUL-11,30-JUN-14
BARTON MEMORIAL HOSPITAL,50352,CA,Hip_Knee_Surgery,157,0.9456,4.1,4.4,23,01-JUL-11,30-JUN-14
PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,50353,CA,Heart_Faliure,496,1.0219,22.9,22.4,115,01-JUL-11,30-JUN-14
PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,50353,CA,Pneumonia,381,0.9236,15.5,16.8,54,01-JUL-11,30-JUN-14
GOLETA VALLEY COTTAGE HOSPITAL,50357,CA,Heart_Faliure,157,0.9835,16.4,16.6,23,01-JUL-11,30-JUN-14
GOLETA VALLEY COTTAGE HOSPITAL,50357,CA,Pneumonia,157,0.9548,12.7,13.3,23,01-JUL-11,30-JUN-14
TULARE REGIONAL MEDICAL CENTER,50359,CA,Pneumonia,202,0.9286,14.2,15.3,24,01-JUL-11,30-JUN-14
MARIN GENERAL HOSPITAL,50360,CA,Pneumonia,403,0.8355,12.7,15.3,40,01-JUL-11,30-JUN-14
NORTHBAY MEDICAL CENTER,50367,CA,Hip_Knee_Surgery,157,0.9869,4.7,4.8,23,01-JUL-11,30-JUN-14
PACIFICA HOSPITAL OF THE VALLEY,50378,CA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,50382,CA,Chronic_Obstructive_Pulmonary,491,0.9998,20.4,20.4,100,01-JUL-11,30-JUN-14
PIH HOSPITAL - DOWNEY,50393,CA,Acute_Myocardial_infarction,149,0.8934,18.2,20.4,21,01-JUL-11,30-JUN-14
SANTA BARBARA COTTAGE HOSPITAL,50396,CA,Chronic_Obstructive_Pulmonary,192,0.9241,17.4,18.8,28,01-JUL-11,30-JUN-14
KAISER FOUNDATION HOSPITAL - SOUTH BAY,50411,CA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,Chronic_Obstructive_Pulmonary,235,0.9346,20.8,22.2,44,01-JUL-11,30-JUN-14
DOCTORS HOSPITAL OF MANTECA,50118,CA,Pneumonia,164,0.9259,15.9,17.1,21,01-JUL-11,30-JUN-14
DAMERON HOSPITAL,50122,CA,Acute_Myocardial_infarction,71,0.9999,15.5,15.5,11,01-JUL-11,30-JUN-14
DAMERON HOSPITAL,50122,CA,Chronic_Obstructive_Pulmonary,197,1.0145,21.3,21.0,43,01-JUL-11,30-JUN-14
VALLEY PRESBYTERIAN HOSPITAL,50126,CA,Acute_Myocardial_infarction,176,1.0002,19.9,19.9,35,01-JUL-11,30-JUN-14
TRI-CITY MEDICAL CENTER,50128,CA,Pneumonia,372,0.9603,15.2,15.8,54,01-JUL-11,30-JUN-14
ST BERNARDINE MEDICAL CENTER,50129,CA,Pneumonia,236,0.88,17.7,20.1,33,01-JUL-11,30-JUN-14
NOVATO COMMUNITY HOSPITAL,50131,CA,Acute_Myocardial_infarction,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
NOVATO COMMUNITY HOSPITAL,50131,CA,Chronic_Obstructive_Pulmonary,157,0.9874,17.7,17.9,23,01-JUL-11,30-JUN-14
NOVATO COMMUNITY HOSPITAL,50131,CA,Hip_Knee_Surgery,207,1.1267,4.8,4.2,12,01-JUL-11,30-JUN-14
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,50135,CA,Chronic_Obstructive_Pulmonary,265,0.9931,22.8,23.0,60,01-JUL-11,30-JUN-14
PETALUMA VALLEY HOSPITAL,50136,CA,Heart_Faliure,146,0.8985,19.3,21.4,22,01-JUL-11,30-JUN-14
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,Hip_Knee_Surgery,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
ST VINCENT MEDICAL CENTER/NORTH,40137,AR,Heart_Faliure,124,1.0397,22.4,21.5,30,01-JUL-11,30-JUN-14
ARKANSAS SURGICAL HOSPITAL,40147,AR,Pneumonia,157,0.9756,16.6,16.7,23,01-JUL-11,30-JUN-14
